"nombre","cantidades","info","sabores","imagen","mix","Artículo","Estado","Stock"
"PROVENZAL X KG.","1 UNIDAD","","","","","297","🟢 ok","0"
"ROMERO EN HOJAS X KG.","1 UNIDAD","","","","","298","🟢 ok","0"
"SAL DEL HIMALAYA FINA X 1 KG","1 UNIDAD","","","","","299","🟢 ok","10"
"SAL DEL HIMALAYA GRUESA X KG.","1 UNIDAD","","","","","300","🟢 ok","3"
"TOMILLO X KG","1 UNIDAD","","","","","302","🟢 ok","0"
"ZAPALLO EN ALMIBAR X 360GR","1 UNIDAD","","","","","309","🟢 ok","3"
"HARINA DE MAIZ BLANCO","1 UNIDAD","","","","","313","🟢 ok","0"
"TOSTADITAS DE ARROZ DELICEL ""SIN TACC""","1 UNIDAD","","","","","314","🟢 ok","0"
"ALMENDRA PARTIDA X KG","1 UNIDAD","","","","","317","🟢 ok","8"
"ALMENDRA NONPAREIL  X KG","1 UNIDAD","","","","","318","🟢 ok","1"
"AVELLANAS SIN CASCARA X KG","1 UNIDAD","","","","","322","🟢 ok","4"
"CASTAÑAS CAJÚ VIETNAM  X KG","1 UNIDAD","","","","","323","🟢 ok","8"
"MANI C/CASCARA X KG","1 UNIDAD","","","","","324","🟢 ok","3"
"MIX PATAGONICO X KG","1 UNIDAD","","","","","327","🟢 ok","16"
"MIX TRADICIONAL X KG","1 UNIDAD","","","","","328","🟢 ok","7"
"MIX TROPICAL X KG.","1 UNIDAD","","","","","329","🟢 ok","9"
"NUEZ CUARTILLO X KG","1 UNIDAD","","","","","331","🟢 ok","14"
"NUEZ CUARTOS X KG","1 UNIDAD","","","","","338","🟢 ok","21"
"NUEZ MARIPOSA LIGHT X KG","1 UNIDAD","","","","","340","🟢 ok","7"
"PISTACHOS CON CÁSCARA X KG","1 UNIDAD","","","","","342","🟢 ok","6"
"FRUTA ESCURRIDA X KG","1 UNIDAD","","","","","348","🟢 ok","3"
"JENGIBRE GLASEADO X KG","1 UNIDAD","","","","","351","🟢 ok","0"
"ALMIDON DE MAIZ X KG","1 UNIDAD","","","","","357","🟢 ok","0"
"FECULA DE MANDIOCA X KG","1 UNIDAD","","","","","358","🟢 ok","8"
"GERMEN DE TRIGO NATURAL X KG.","1 UNIDAD","","","","","359","🟢 ok","4"
"GLUTEN DE TRIGO X KG","1 UNIDAD","","","","","360","🟢 ok","4"
"HARINA DE ALGARROBA X KG","1 UNIDAD","","","","","361","🟢 ok","2"
"HARINA  DE ALMENDRAS S/ PIEL X KG","1 UNIDAD","","","","","363","🟢 ok","4"
"HARINA DE ARROZ X KG","1 UNIDAD","","","","","364","🟢 ok","2"
"HARINA DE AVENA X KG","1 UNIDAD","","","","","365","🟢 ok","17"
"HARINA DE CHIA X KG.","1 UNIDAD","","","","","367","🟢 ok","5"
"HARINA DE COCO X KG","1 UNIDAD","","","","","368","🟢 ok","6"
"HARINA DE GARBANZO X KG","1 UNIDAD","","","","","369","🟢 ok","6"
"HARINA DE LINO X KG","1 UNIDAD","","","","","370","🟢 ok","4"
"HARINILLA DE MAIZ","1 UNIDAD","","","","","372","🟢 ok","0"
"HARINA SOJA DESGR FINA X KG","1 UNIDAD","","","","","376","🟢 ok","4"
"HARINA INTEGRAL FINA X KG.","1 UNIDAD","","","","","377","🟢 ok","14"
"PANKO X KG","1 UNIDAD","","","","","378","🟢 ok","16"
"SALVADO DE AVENA X KG","1 UNIDAD","","","","","380","🟢 ok","3"
"SALVADO DE TRIGO GRUESO X 1 KG","1 UNIDAD","","","","","381","🟢 ok","15"
"SEMOLIN DE TRIGO X KG","1 UNIDAD","","","","","382","🟢 ok","2"
"TEXTURIZADO DE SOJA X KG","1 UNIDAD","","","","","383","🟢 ok","3"
